"특성별(1)",특성별(2),2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"특성별(1)",특성별(2),연간 총소득,근로소득,근로소득,사업소득,사업소득,재산소득,재산소득,사적이전소득,사적이전소득,공적이전소득,공적이전소득,사적연금소득,사적연금소득,기타소득,기타소득,연간 총소득,근로소득,근로소득,사업소득,사업소득,재산소득,재산소득,사적이전소득,사적이전소득,공적이전소득,공적이전소득,사적연금소득,사적연금소득,기타소득,기타소득,연간 총소득,연간 총소득,근로소득,근로소득,사업소득,사업소득,재산소득,재산소득,사적이전소득,사적이전소득,공적이전소득,공적이전소득,사적연금소득,사적연금소득,기타소득,기타소득,연간 총소득,연간 총소득,근로소득,근로소득,사업소득,사업소득,재산소득,재산소득,사적이전소득,사적이전소득,공적이전소득,공적이전소득,사적연금소득,사적연금소득,기타소득,기타소득
"특성별(1)",특성별(2),금액 (만원),금액 (만원),구성비 (%),금액 (만원),구성비 (%),금액 (만원),구성비 (%),금액 (만원),구성비 (%),금액 (만원),구성비 (%),금액 (만원),구성비 (%),금액 (만원),구성비 (%),금액 (만원),금액 (만원),구성비 (%),금액 (만원),구성비 (%),금액 (만원),구성비 (%),금액 (만원),구성비 (%),금액 (만원),구성비 (%),금액 (만원),구성비 (%),금액 (만원),구성비 (%),금액 (만원),구성비 (%),금액 (만원),구성비 (%),금액 (만원),구성비 (%),금액 (만원),구성비 (%),금액 (만원),구성비 (%),금액 (만원),구성비 (%),금액 (만원),구성비 (%),금액 (만원),구성비 (%),금액 (만원),구성비 (%),금액 (만원),구성비 (%),금액 (만원),구성비 (%),금액 (만원),구성비 (%),금액 (만원),구성비 (%),금액 (만원),구성비 (%),금액 (만원),구성비 (%),금액 (만원),구성비 (%)
"전체",소계,849.6,86.5,7.4,154.0,9.5,131.4,9.0,207.4,39.8,252.9,32.5,3.7,0.3,13.6,1.4,959.3,122.3,12.7,145.0,15.1,110.6,11.5,228.7,23.8,335.5,35.0,4.3,0.4,12.9,1.3,1176.5,100.0,156.2,13.3,160.4,13.6,143.3,12.2,258.4,22.0,434.7,36.9,9.1,0.8,14.2,1.2,1557.6,100.0,375.8,24.1,267.4,17.2,171.8,11.0,215.8,13.9,428.7,27.5,97.9,6.3,0.2,0.0
"지역별",동부,879.2,101.8,8.3,104.0,5.3,163.4,10.7,213.6,40.3,282.2,33.9,5.0,0.4,9.1,1.2,998.0,138.2,13.8,124.3,12.5,125.4,12.6,231.8,23.2,360.0,36.1,4.0,0.4,14.2,1.4,1215.7,100.0,167.3,13.8,121.2,10.0,182.5,15.0,258.8,21.3,456.0,37.5,12.6,1.0,16.9,1.4,1668.8,100.0,413.3,24.8,260.9,15.6,214.8,12.9,220.0,13.2,442.8,26.5,116.8,7.0,0.2,0.0
"지역별",읍·면부,786.9,54.2,5.5,260.1,18.5,63.5,5.6,194.3,38.8,190.5,29.6,1.1,0.1,23.2,1.8,832.2,70.0,8.4,212.8,25.6,61.8,7.4,218.4,26.2,255.3,30.7,5.2,0.6,8.7,1.0,1091.1,100.0,131.9,12.1,246.2,22.6,57.5,5.3,257.5,23.6,388.1,35.6,1.5,0.1,8.3,0.8,1209.5,100.0,258.5,21.4,287.9,23.8,37.2,3.1,202.5,16.7,384.6,31.8,38.7,3.2,0.0,0.0
"성별",남자,1271.1,150.6,10.3,299.2,17.0,232.1,12.7,168.6,23.7,390.4,33.9,6.0,0.4,24.1,2.0,1417.1,219.8,15.5,277.4,19.6,181.3,12.8,179.7,12.7,533.2,37.6,8.1,0.6,17.6,1.2,1697.1,100.0,253.6,14.9,331.8,19.6,243.1,14.3,203.2,12.0,636.1,37.5,12.9,0.8,16.4,1.0,2072.2,100.0,550.5,26.6,429.0,20.7,200.0,9.7,187.9,9.1,542.1,26.2,162.7,7.9,0.0,0.0
"성별",여자,529.9,37.9,5.2,43.8,3.8,55.0,6.3,236.9,52.1,148.5,31.5,2.0,0.2,5.7,0.9,632.3,52.6,8.3,50.5,8.0,60.0,9.5,263.7,41.7,194.4,30.7,1.6,0.3,9.5,1.5,791.9,100.0,84.3,10.6,33.8,4.3,69.6,8.8,299.2,37.8,285.9,36.1,6.3,0.8,12.6,1.6,1168.7,100.0,243.8,20.9,145.3,12.4,150.5,12.9,236.9,20.3,343.0,29.3,48.9,4.2,0.3,0.0
"연령별",65~69세,1046.4,173.2,12.7,274.9,13.8,151.3,9.8,156.7,33.3,270.7,28.8,4.3,0.4,15.3,1.3,1292.5,262.1,20.3,253.7,19.6,145.2,11.2,181.3,14.0,423.2,32.7,2.7,0.2,24.2,1.9,1412.1,100.0,320.0,22.7,288.3,20.4,120.3,8.5,186.5,13.2,474.9,33.6,7.0,0.5,15.1,1.1,2131.8,100.0,753.6,35.4,509.4,23.9,225.6,10.6,184.9,8.7,365.9,17.2,91.9,4.3,0.5,0.0
"연령별",70~74세,831.7,85.8,8.0,149.2,10.3,142.0,10.3,205.0,38.6,232.2,31.1,3.3,0.2,14.1,1.5,927.9,106.7,11.5,133.7,14.4,115.3,12.4,217.4,23.4,338.9,36.5,5.0,0.5,10.9,1.2,1137.6,100.0,141.0,12.4,134.3,11.8,150.5,13.2,239.7,21.1,450.2,39.6,9.1,0.8,12.3,1.1,1561.5,100.0,315.9,20.2,228.4,14.6,211.9,13.6,200.8,12.9,461.3,29.5,143.2,9.2,0.0,0.0
"연령별",75~79세,768.0,32.6,4.3,86.0,7.3,125.1,8.5,240.9,44.4,266.8,33.8,3.2,0.2,13.5,1.4,749.5,38.3,5.1,83.8,11.2,95.0,12.7,268.3,35.8,252.9,33.7,5.3,0.7,5.9,0.8,1092.1,100.0,66.5,6.1,126.9,11.6,170.1,15.6,315.3,28.9,385.1,35.3,10.2,0.9,18.0,1.6,1294.3,100.0,176.6,13.6,157.1,12.1,147.1,11.4,226.4,17.5,483.2,37.3,103.8,8.0,0.0,0.0
"연령별",80~84세,677.1,10.9,1.6,51.4,5.0,75.9,6.6,269.4,46.6,255.9,38.8,2.3,0.3,11.3,1.1,754.5,15.9,2.1,65.5,8.7,80.3,10.6,279.6,37.1,302.4,40.1,5.5,0.7,5.4,0.7,922.1,100.0,20.7,2.2,44.3,4.8,125.8,13.6,338.4,36.7,367.9,39.9,9.9,1.1,15.2,1.6,949.1,100.0,67.7,7.1,56.9,6.0,72.9,7.7,264.5,27.9,431.0,45.4,56.1,5.9,0.0,0.0
"연령별",85세 이상,596.5,4.9,0.8,27.0,1.6,106.4,5.7,230.7,48.6,211.6,41.4,7.7,0.3,8.1,1.6,606.1,4.1,0.7,35.2,5.8,44.9,7.4,272.5,45.0,240.9,39.7,4.1,0.7,4.5,0.7,996.8,100.0,9.7,1.0,13.0,1.3,170.4,17.1,321.6,32.3,463.0,46.4,13.3,1.3,5.8,0.6,892.3,100.0,46.1,5.2,27.7,3.1,60.8,6.8,281.2,31.5,437.4,49.0,39.1,4.4,0.0,0.0
"결혼상태별",배우자 있음,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1077.4,158.2,14.7,196.3,18.2,139.7,13.0,189.5,17.6,376.1,34.9,5.6,0.5,12.0,1.1,1275.8,100.0,191.2,15.0,222.0,17.4,166.7,13.1,210.1,16.5,460.3,36.1,10.0,0.8,15.3,1.2,1661.8,100.0,446.9,26.9,325.6,19.6,143.5,8.6,190.8,11.5,439.5,26.4,115.5,7.0,0.0,0.0
"결혼상태별",배우자 없음,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,771.3,65.2,8.4,63.4,8.2,64.2,8.3,291.1,37.7,270.9,35.1,2.2,0.3,14.4,1.9,1004.7,100.0,95.7,9.5,53.9,5.4,102.7,10.2,341.9,34.0,390.4,38.9,7.5,0.7,12.3,1.2,1344.6,100.0,230.5,17.1,148.5,11.0,229.6,17.1,266.8,19.8,406.7,30.2,62.0,4.6,0.5,0.0
"가구형태별",노인독거,769.2,55.8,6.7,63.1,6.3,84.5,6.9,327.6,45.7,226.6,32.9,1.2,0.2,10.3,1.3,876.5,66.8,7.6,72.9,8.3,69.8,8.0,348.1,39.7,296.9,33.9,3.6,0.4,18.4,2.1,1082.5,100.0,109.3,10.1,52.5,4.8,100.2,9.3,396.5,36.6,399.4,36.9,9.8,0.9,14.3,1.3,1366.7,100.0,240.4,17.6,179.1,13.1,196.4,14.4,264.9,19.4,416.2,30.5,69.7,5.1,0.0,0.0
"가구형태별",노인부부,968.7,97.7,7.8,207.1,12.2,160.7,10.3,194.5,39.4,287.9,28.5,4.4,0.3,16.3,1.5,1050.5,139.1,13.2,186.8,17.8,142.2,13.5,201.0,19.1,364.9,34.7,7.3,0.7,9.1,0.9,1263.1,100.0,174.6,13.8,208.8,16.5,164.6,13.0,223.7,17.7,466.6,36.9,11.0,0.9,13.9,1.1,1650.1,100.0,439.9,26.7,310.7,18.8,141.6,8.6,190.8,11.6,444.4,26.9,122.7,7.4,0.0,0.0
"가구형태별",자녀동거,701.8,93.1,7.3,120.8,6.9,115.1,8.1,142.0,36.9,214.6,39.1,4.6,0.3,11.5,1.4,872.5,137.9,15.8,136.2,15.6,91.5,10.5,171.6,19.7,318.5,36.5,0.8,0.1,15.9,1.8,1078.1,100.0,157.8,14.6,144.4,13.4,157.8,14.6,190.1,17.6,405.0,37.6,6.1,0.6,17.1,1.6,1472.0,100.0,323.0,21.9,242.4,16.5,236.7,16.1,221.7,15.1,393.3,26.7,54.0,3.7,0.8,0.1
"가구형태별",기타,816.4,60.2,6.5,179.1,10.7,119.8,11.2,219.4,36.0,222.7,34.1,2.4,0.3,12.7,1.2,1037.8,142.7,13.7,158.4,15.3,128.0,12.3,255.5,24.6,351.3,33.8,0.6,0.1,1.4,0.1,1258.4,100.0,197.5,15.7,293.8,23.3,60.8,4.8,269.7,21.4,433.6,34.5,0.9,0.1,2.1,0.2,1609.8,100.0,372.2,23.1,108.1,6.7,155.4,9.7,428.2,26.6,452.7,28.1,93.2,5.8,0.0,0.0
"교육수준별",무학,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,805.8,100.0,89.1,11.1,42.1,5.2,58.5,7.3,247.9,30.8,359.0,44.6,9.1,1.1,0.0,0.0
"교육수준별",무학(글자모름),479.6,34.1,4.6,42.6,5.0,19.9,3.0,211.7,46.2,160.5,39.8,0.6,0.1,10.2,1.2,527.3,38.7,7.3,39.1,7.4,20.5,3.9,227.2,43.1,197.7,37.5,1.0,0.2,3.2,0.6,695.2,100.0,33.8,4.9,42.3,6.1,21.4,3.1,291.6,41.9,273.3,39.3,0.1,0.0,32.8,4.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"교육수준별",무학(글자해독),551.9,49.3,6.2,76.4,6.8,40.2,4.8,208.1,44.5,166.1,36.0,0.5,0.1,11.3,1.5,609.5,64.8,10.6,56.0,9.2,50.6,8.3,236.7,38.8,194.9,32.0,1.4,0.2,5.1,0.8,800.5,100.0,78.7,9.8,70.8,8.8,50.9,6.4,281.4,35.2,301.5,37.7,3.9,0.5,13.3,1.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"교육수준별",초등학교,712.4,69.8,6.9,150.5,10.9,94.4,8.0,200.0,42.5,180.3,29.9,1.2,0.1,16.3,1.7,764.9,103.7,13.6,116.1,15.2,79.4,10.4,232.3,30.4,222.8,29.1,1.9,0.2,8.6,1.1,973.9,100.0,149.7,15.4,138.5,14.2,83.5,8.6,249.4,25.6,336.3,34.5,3.0,0.3,13.2,1.4,1034.9,100.0,191.1,18.5,116.0,11.2,77.2,7.5,230.8,22.3,380.8,36.8,39.1,3.8,0.0,0.0
"교육수준별",중학교,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,994.3,162.3,16.3,191.2,19.2,128.9,13.0,210.7,21.2,284.3,28.6,2.2,0.2,14.6,1.5,1191.8,100.0,193.1,16.2,231.5,19.4,146.1,12.3,219.9,18.5,385.0,32.3,5.4,0.5,10.7,0.9,1327.4,100.0,377.9,28.5,217.7,16.4,70.1,5.3,215.5,16.2,373.9,28.2,72.4,5.5,0.0,0.0
"교육수준별",고등학교,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1235.2,158.9,12.9,194.7,15.8,183.4,14.9,220.2,17.8,456.0,36.9,5.5,0.4,16.4,1.3,1563.4,100.0,259.1,16.6,230.2,14.7,222.5,14.2,265.5,17.0,559.6,35.8,14.8,0.9,11.7,0.7,2123.0,100.0,537.6,25.3,446.9,21.1,357.4,16.8,195.4,9.2,441.1,20.8,144.1,6.8,0.6,0.0
"교육수준별",중·고등학교,1104.8,147.2,10.2,239.5,12.2,211.8,13.6,209.6,33.8,277.4,28.6,5.5,0.4,13.8,1.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"교육수준별",전문대학 이상,2069.5,139.2,7.0,259.6,7.5,468.1,20.0,228.5,24.7,936.7,38.6,25.1,1.4,12.3,0.7,2589.0,310.9,12.0,450.6,17.4,325.2,12.6,242.5,9.4,1179.2,45.5,27.3,1.1,53.2,2.1,2472.6,100.0,155.7,6.3,253.6,10.3,549.0,22.2,286.3,11.6,1157.7,46.8,52.1,2.1,18.3,0.7,3891.0,100.0,1092.2,28.1,815.6,21.0,390.8,10.0,176.8,4.5,965.5,24.8,450.1,11.6,0.0,0.0
"현 취업상태",취업중,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1399.4,366.8,26.2,491.0,35.1,95.9,6.8,158.3,11.3,275.5,19.7,3.2,0.2,8.8,0.6,1629.0,100.0,429.9,26.4,511.3,31.4,85.9,5.3,182.3,11.2,398.4,24.5,6.2,0.4,15.1,0.9,2237.8,100.0,878.5,39.3,629.1,28.1,225.3,10.1,162.9,7.3,279.5,12.5,62.5,2.8,0.0,0.0
"현 취업상태",미취업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,784.3,25.0,3.2,7.5,1.0,116.4,14.8,256.7,32.7,359.4,45.8,4.8,0.6,14.5,1.9,979.7,100.0,37.3,3.8,7.9,0.8,168.3,17.2,291.5,29.8,450.5,46.0,10.4,1.1,13.8,1.4,1186.5,100.0,101.5,8.6,70.1,5.9,142.6,12.0,244.6,20.6,510.1,43.0,117.2,9.9,0.3,0.0
"연가구소득별",제1오분위,453.8,23.6,4.7,23.3,4.4,21.6,4.5,209.5,46.3,168.6,38.6,0.2,0.0,6.9,1.5,468.8,20.0,4.3,16.2,3.5,18.5,3.9,214.3,45.7,198.5,42.3,0.4,0.1,0.9,0.2,571.4,100.0,29.6,5.2,15.8,2.8,21.6,3.8,232.6,40.7,268.6,47.0,1.3,0.2,2.0,0.4,493.7,100.0,42.5,8.6,7.3,1.5,14.7,3.0,149.2,30.2,272.2,55.1,7.8,1.6,0.0,0.0
"연가구소득별",제2오분위,574.6,44.9,6.2,71.6,8.8,55.0,7.3,225.1,43.9,166.7,32.2,1.4,0.2,9.9,1.4,620.4,48.2,7.8,45.6,7.4,51.1,8.2,268.6,43.3,200.9,32.4,3.0,0.5,2.8,0.5,787.0,100.0,59.5,7.6,41.8,5.3,50.2,6.4,310.2,39.4,317.6,40.4,4.2,0.5,3.8,0.5,801.5,100.0,94.2,11.8,35.3,4.4,27.3,3.4,241.4,30.1,377.6,47.1,25.8,3.2,0.0,0.0
"연가구소득별",제3오분위,792.2,110.4,10.2,145.3,12.0,92.1,9.3,234.1,39.3,192.5,27.3,2.7,0.3,15.2,1.6,852.5,126.2,14.8,105.6,12.4,94.4,11.1,260.2,30.5,256.7,30.1,5.0,0.6,4.3,0.5,1054.8,100.0,140.1,13.3,115.2,10.9,102.9,9.8,294.0,27.9,382.0,36.2,12.1,1.1,8.5,0.8,1272.5,100.0,302.8,23.8,187.6,14.7,68.8,5.4,236.3,18.6,415.2,32.6,61.9,4.9,0.0,0.0
"연가구소득별",제4오분위,1035.7,123.0,8.9,249.0,13.3,132.4,8.9,205.3,36.4,301.8,30.8,8.7,0.6,15.4,1.1,1096.6,168.7,15.4,171.1,15.6,149.3,13.6,214.7,19.6,372.0,33.9,10.5,1.0,10.3,0.9,1367.1,100.0,259.7,19.0,208.7,15.3,147.7,10.8,234.5,17.2,493.1,36.1,9.0,0.7,14.4,1.1,1807.8,100.0,581.2,32.1,350.6,19.4,92.2,5.1,195.4,10.8,482.6,26.7,105.6,5.8,0.0,0.0
"연가구소득별",제5오분위,1392.4,130.9,7.0,280.8,9.1,356.2,15.2,163.2,33.4,434.8,33.7,5.7,0.4,20.9,1.3,1764.4,250.2,14.2,387.3,21.9,240.8,13.6,186.3,10.6,650.9,36.9,2.6,0.1,46.3,2.6,2102.9,100.0,292.2,13.9,420.6,20.0,394.3,18.8,221.0,10.5,712.1,33.9,19.0,0.9,42.4,2.0,3413.3,100.0,858.2,25.1,756.6,22.2,656.5,19.2,256.8,7.5,595.8,17.5,288.5,8.5,0.8,0.0
"기능상태",제한 없음,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1042.1,146.1,14.0,170.1,16.3,125.6,12.1,224.1,21.5,357.2,34.3,4.8,0.5,14.2,1.4,1292.9,100.0,192.6,14.9,200.9,15.5,168.9,13.1,246.6,19.1,459.9,35.6,11.0,0.9,12.8,1.0,1618.8,100.0,414.5,25.6,289.5,17.9,185.7,11.5,212.6,13.1,427.8,26.4,88.5,5.5,0.2,0.0
"기능상태",제한 있음,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,588.1,15.7,2.7,32.8,5.6,43.1,7.3,249.1,42.4,238.3,40.5,2.2,0.4,6.9,1.2,833.4,100.0,49.0,5.9,41.0,4.9,67.8,8.1,293.2,35.2,360.3,43.2,3.6,0.4,18.4,2.2,1117.2,100.0,97.5,8.7,108.7,9.7,71.7,6.4,238.6,21.4,435.3,39.0,165.4,14.8,0.0,0.0
